,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
30,30,387,393,31,0.530915549284257,0.002171328042049177,0.5515496964399548,0.0041687158285195255,-422.489613341334,10.004875721698632,0.08
31,31,388,394,32,0.5312593525013067,0.002171328042049177,0.5468185005321344,0.0041687158285195255,-351.9414133213332,10.004875721698632,0.08
32,32,389,395,33,0.531396478612015,0.002171328042049177,0.5453624679388448,0.0041687158285195255,-281.3931533353334,10.004875721698632,0.08
33,33,390,396,34,0.529404000657573,0.002171328042049177,0.5515101105538247,0.0041687158285195255,-210.84495331533344,10.004875721698632,0.08
34,34,391,397,35,0.523185311778145,0.002171328042049177,0.5423402902873979,0.0041687158285195255,-140.29669332933372,10.004875721698632,0.08
35,35,392,398,36,0.503310719599892,0.002171328042049177,0.5292023261940718,0.0041687158285195255,-69.74845133313374,10.004875721698632,0.08
36,36,393,399,37,0.06723516482532163,0.002171328042049177,0.08357622535380455,0.0041687158285195255,0.7997846664666213,10.004875721698632,0.08
37,37,394,400,38,0.5057313708711999,0.002171328042049177,0.5192448832967126,0.0041687158285195255,71.3480266626666,10.004875721698632,0.08
38,38,395,401,39,0.5242951638874369,0.002171328042049177,0.540105735266884,0.0041687158285195255,141.89628664866632,10.004875721698632,0.08
39,39,396,402,40,0.5264036260306193,0.002171328042049177,0.5487982498488229,0.0041687158285195255,212.44448666866631,10.004875721698632,0.08
40,40,397,403,41,0.5317462094707379,0.002171328042049177,0.539376353939683,0.0041687158285195255,282.992746654666,10.004875721698632,0.08
41,41,398,404,42,0.5288313904719351,0.002171328042049177,0.5506437711608174,0.0041687158285195255,353.5409466746669,10.004875721698632,0.08
42,42,399,405,43,0.5309359008540019,0.002171328042049177,0.5465946355209161,0.0041687158285195255,424.0892066606656,10.004875721698632,0.08
43,43,400,406,44,0.532865743394763,0.002171328042049177,0.5486958725571072,0.0041687158285195255,494.63740668066663,10.004875721698632,0.08
44,44,401,407,45,0.5284439202945589,0.002171328042049177,0.5553649568445589,0.0041687158285195255,565.1856666666672,10.004875721698632,0.08
45,45,402,408,46,0.5276802424589859,0.002171328042049177,0.5507898294303318,0.0041687158285195255,640.1431666666657,10.004875721698632,0.08
46,46,403,409,47,0.5313962810239592,0.002171328042049177,0.5451263176526207,0.0041687158285195255,715.1006666666663,10.004875721698632,0.08
47,47,404,410,48,0.5336074889561448,0.002171328042049177,0.5551747625870606,0.0041687158285195255,790.0581666666667,10.004875721698632,0.08
48,48,405,411,49,0.5311281540322716,0.002171328042049177,0.5460836590827086,0.0041687158285195255,865.0156666666671,10.004875721698632,0.08
49,49,406,412,50,0.5316590731381409,0.002171328042049177,0.5530785306629089,0.0041687158285195255,939.9731666666656,10.004875721698632,0.08
50,50,407,413,51,0.5272218381695863,0.002171328042049177,0.5518045021437805,0.0041687158285195255,1014.9306666666664,10.004875721698632,0.08
51,51,408,414,52,0.5327922406380144,0.002171328042049177,0.5523514243866349,0.0041687158285195255,1089.8881666666666,10.004875721698632,0.08
52,52,409,415,53,0.5320459505513497,0.002171328042049177,0.5480620433688408,0.0041687158285195255,1164.845666666667,10.004875721698632,0.08
53,53,410,416,54,0.5328254354313847,0.002171328042049177,0.5486344461820778,0.0041687158285195255,1239.8031666666654,10.004875721698632,0.08
54,54,411,417,55,0.531692465519567,0.002171328042049177,0.5497656015029897,0.0041687158285195255,1314.7606666666659,10.004875721698632,0.08
55,55,412,418,56,0.5339339044242863,0.002171328042049177,0.5481207396827578,0.0041687158285195255,1389.7181666666665,10.004875721698632,0.08
56,56,413,419,57,0.5300254150929875,0.002171328042049177,0.5537769712975025,0.0041687158285195255,1464.6756666666668,10.004875721698632,0.08
57,57,414,420,58,0.5295257148999308,0.002171328042049177,0.5492009338629045,0.0041687158285195255,1539.6331666666656,10.004875721698632,0.08
58,58,415,421,59,0.5353322350950108,0.002171328042049177,0.5491035616832283,0.0041687158285195255,1614.590666666666,10.004875721698632,0.08
59,59,416,422,60,0.5317487781154631,0.002171328042049177,0.5477016753020016,0.0041687158285195255,1689.5481666666665,10.004875721698632,0.08
60,60,417,423,61,0.5308254491308233,0.002171328042049177,0.5510905911628832,0.0041687158285195255,1764.505666666667,10.004875721698632,0.08
61,61,418,424,62,0.5305982228666812,0.002171328042049177,0.5498056423993051,0.0041687158285195255,1839.4631666666653,10.004875721698632,0.08
62,62,419,425,63,0.5306492005850714,0.002171328042049177,0.5508244102044224,0.0041687158285195255,1914.420666666666,10.004875721698632,0.08
63,63,420,426,64,0.5355039391154799,0.002171328042049177,0.5485730198070484,0.0041687158285195255,1989.3781666666666,10.004875721698632,0.08
64,64,421,427,65,0.5332312812979481,0.002171328042049177,0.5446612972431388,0.0041687158285195255,2064.335666666667,10.004875721698632,0.08
65,65,422,428,66,0.5312451261612908,0.002171328042049177,0.5510546453582363,0.0041687158285195255,2139.2931666666673,10.004875721698632,0.08
66,66,423,429,67,0.5246960700526058,0.002171328042049177,0.5470723962155893,0.0041687158285195255,2214.250666666666,10.004875721698632,0.08
67,67,424,430,68,0.5348580237611492,0.002171328042049177,0.5480897989901504,0.0041687158285195255,2289.208166666667,10.004875721698632,0.08
68,68,425,431,69,0.5293992585442344,0.002171328042049177,0.5525871196626736,0.0041687158285195255,2364.1656666666668,10.004875721698632,0.08
69,69,426,432,70,0.5308175456085923,0.002171328042049177,0.5544326409746683,0.0041687158285195255,2663.9956666666667,10.004875721698632,0.08
70,70,427,433,71,0.5340688570663811,0.002171328042049177,0.5516461585992603,0.0041687158285195255,2963.825666666666,10.004875721698632,0.08
71,71,428,434,72,0.5312186493618168,0.002171328042049177,0.5477458112899857,0.0041687158285195255,3263.655666666666,10.004875721698632,0.08
72,72,429,435,73,0.5361298980761773,0.002171328042049177,0.5470396354822402,0.0041687158285195255,3563.4856666666665,10.004875721698632,0.08
73,73,284,289,1,0.5229194653207933,0.0035046658093476108,0.5453098920411181,0.0024503221692878693,-3332.6106666666687,49.99550781198635,0.08
74,74,285,290,2,0.5252334262247856,0.0035046658093476108,0.5463489424921358,0.0024503221692878693,-3032.780666666669,49.99550781198635,0.08
