,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
63,63,63,63,0.452220317313,0.00943492755493,0.455261416575,0.00418833317511,-356.7839,10.0,0.3,0.449265389901
64,64,64,64,0.453378663722,0.00943492755493,0.456923951983,0.00418833317511,-349.7487,10.0,0.3,0.44885030916
65,65,65,65,0.442234943143,0.00943492755493,0.440429483937,0.00418833317511,-342.7136,10.0,0.3,0.448355660023
66,66,66,66,0.448948199376,0.00943492755493,0.443975929897,0.00418833317511,-335.6784,10.0,0.3,0.447801183087
67,67,67,67,0.442795277116,0.00943492755493,0.442810478639,0.00418833317511,-328.6432,10.0,0.3,0.447230489119
68,68,68,68,0.450197303423,0.00943492755493,0.45679488381,0.00418833317511,-321.608,10.0,0.3,0.446705627191
69,69,69,69,0.450744270743,0.00943492755493,0.451520863395,0.00418833317511,-314.5729,10.0,0.3,0.446292255938
70,70,70,70,0.457994033436,0.00943492755493,0.459692151201,0.00418833317511,-307.5377,10.0,0.3,0.446037939434
71,71,71,71,0.438994788942,0.00943492755493,0.439602154934,0.00418833317511,-300.5025,10.0,0.3,0.445953443661
72,72,72,72,0.449815094632,0.00943492755493,0.444021174452,0.00418833317511,-293.4673,10.0,0.3,0.446009435084
73,73,73,73,0.445107417524,0.00943492755493,0.43435398855,0.00418833317511,-286.4322,10.0,0.3,0.446152192364
74,74,74,74,0.439922415296,0.00943492755493,0.439384617498,0.00418833317511,-279.397,10.0,0.3,0.446328234166
75,75,75,75,0.445038356483,0.00943492755493,0.451886051588,0.00418833317511,-272.3618,10.0,0.3,0.446503222567
76,76,76,76,0.441604676391,0.00943492755493,0.454912387151,0.00418833317511,-265.3266,10.0,0.3,0.446667171283
77,77,77,77,0.440493500707,0.00943492755493,0.436590968217,0.00418833317511,-258.2914,10.0,0.3,0.446826816731
78,78,78,78,0.442468859573,0.00943492755493,0.428845060022,0.00418833317511,-251.2563,10.0,0.3,0.446991505338
79,79,79,79,0.442090912613,0.00943492755493,0.440028948436,0.00418833317511,-244.2211,10.0,0.3,0.447160186418
80,80,80,80,0.449076635478,0.00943492755493,0.443382297098,0.00418833317511,-237.1859,10.0,0.3,0.44731537459
81,81,81,81,0.442981732241,0.00943492755493,0.436689536712,0.00418833317511,-230.1508,10.0,0.3,0.447426719459
82,82,82,82,0.459330214448,0.00943492755493,0.452575829066,0.00418833317511,-223.1156,10.0,0.3,0.447462639653
83,83,83,83,0.446507913446,0.00943492755493,0.455402603824,0.00418833317511,-216.0804,10.0,0.3,0.447404528435
84,84,84,84,0.460378915558,0.00943492755493,0.443587311488,0.00418833317511,-209.0452,10.0,0.3,0.447257165666
85,85,85,85,0.448461672575,0.00943492755493,0.452241746504,0.00418833317511,-202.0101,10.0,0.3,0.447049540565
86,86,86,86,0.441985722865,0.00943492755493,0.44426941355,0.00418833317511,-194.9749,10.0,0.3,0.446824359125
87,87,87,87,0.44534782356,0.00943492755493,0.454364200892,0.00418833317511,-187.9397,10.0,0.3,0.44661992743
88,88,88,88,0.42451812247,0.00943492755493,0.415744135579,0.00418833317511,-180.9045,10.0,0.3,0.446450998199
89,89,89,89,0.440976734275,0.00943492755493,0.446437112493,0.00418833317511,-173.8694,10.0,0.3,0.446297410276
90,90,90,90,0.449521609423,0.00943492755493,0.459992098362,0.00418833317511,-166.8342,10.0,0.3,0.446106541793
91,91,91,91,0.449933651033,0.00943492755493,0.453726737431,0.00418833317511,-159.799,10.0,0.3,0.445809716202
92,92,92,92,0.43797688925,0.00943492755493,0.426515975368,0.00418833317511,-152.7638,10.0,0.3,0.445347692289
93,93,93,93,0.434827589547,0.00943492755493,0.432531077354,0.00418833317511,-145.7286,10.0,0.3,0.444694644613
94,94,94,94,0.443913620426,0.00943492755493,0.447614278858,0.00418833317511,-138.6935,10.0,0.3,0.443870031104
95,95,95,95,0.447890684024,0.00943492755493,0.441703400936,0.00418833317511,-131.6583,10.0,0.3,0.442930804191
96,96,96,96,0.444002344007,0.00943492755493,0.444319909705,0.00418833317511,-124.6231,10.0,0.3,0.441945083676
97,97,97,97,0.431301311482,0.00943492755493,0.437886497571,0.00418833317511,-117.5879,10.0,0.3,0.440953710797
98,98,98,98,0.434602003061,0.00943492755493,0.433364465896,0.00418833317511,-110.5528,10.0,0.3,0.439933805244
99,99,99,99,0.43444809283,0.00943492755493,0.428103776466,0.00418833317511,-103.5176,10.0,0.3,0.438777894954
100,100,100,100,0.43360328161,0.00943492755493,0.431492068468,0.00418833317511,-96.48241,10.0,0.3,0.437295844785
101,101,101,101,0.433302628775,0.00943492755493,0.423459746081,0.00418833317511,-89.44724,10.0,0.3,0.43523947172
102,102,102,102,0.410111873075,0.00943492755493,0.41792577146,0.00418833317511,-82.41206,10.0,0.3,0.432336890879
103,103,103,103,0.422506150598,0.00943492755493,0.431450257652,0.00418833317511,-75.37688,10.0,0.3,0.42831647522
104,104,104,104,0.416021192925,0.00943492755493,0.411403890062,0.00418833317511,-68.34171,10.0,0.3,0.422896092709
105,105,105,105,0.398238217005,0.00943492755493,0.398365580851,0.00418833317511,-61.30653,10.0,0.3,0.415712483941
106,106,106,106,0.385389085837,0.00943492755493,0.385527842368,0.00418833317511,-54.27136,10.0,0.3,0.406163714628
107,107,107,107,0.393177292187,0.00943492755493,0.387463864951,0.00418833317511,-47.23618,10.0,0.3,0.393118307247
108,108,108,108,0.343238410724,0.00943492755493,0.350048031943,0.00418833317511,-40.201,10.0,0.3,0.374385281561
109,109,109,109,0.330560818272,0.00943492755493,0.32487024508,0.00418833317511,-33.16583,10.0,0.3,0.345672854659
110,110,110,110,0.264701284361,0.00943492755493,0.272553602678,0.00418833317511,-26.13065,10.0,0.3,0.298410533927
111,111,111,111,0.206449119544,0.00943492755493,0.199774443775,0.00418833317511,-19.09548,10.0,0.3,0.21652946952
112,112,112,112,0.135047558164,0.00943492755493,0.136881159521,0.00418833317511,-12.0603,10.0,0.3,0.10754937892
113,113,113,113,0.096087483776,0.00943492755493,0.0891947115579,0.00418833317511,-5.025126,10.0,0.3,-0.0188180985834
114,114,114,114,0.0768327909184,0.00943492755493,0.0789382153285,0.00418833317511,2.01005,10.0,0.3,0.08831336537
115,115,115,115,0.127709362469,0.00943492755493,0.126365920993,0.00418833317511,9.045226,10.0,0.3,0.112311677664
116,116,116,116,0.175757831115,0.00943492755493,0.18659092782,0.00418833317511,16.0804,10.0,0.3,0.182643203899
117,117,117,117,0.256941748513,0.00943492755493,0.252332720377,0.00418833317511,23.11558,10.0,0.3,0.271669523299
118,118,118,118,0.309927161427,0.00943492755493,0.310350984635,0.00418833317511,30.15075,10.0,0.3,0.330645299882
119,119,119,119,0.359673969896,0.00943492755493,0.368400556508,0.00418833317511,37.18593,10.0,0.3,0.366671963995
120,120,120,120,0.388148137386,0.00943492755493,0.387835314668,0.00418833317511,44.2211,10.0,0.3,0.389711069832
121,121,121,121,0.400882489684,0.00943492755493,0.398030084397,0.00418833317511,51.25628,10.0,0.3,0.405257854809
122,122,122,122,0.405874256601,0.00943492755493,0.405043192391,0.00418833317511,58.29146,10.0,0.3,0.416155233184
123,123,123,123,0.416549563162,0.00943492755493,0.411866636827,0.00418833317511,65.32663,10.0,0.3,0.423920945453
124,124,124,124,0.430842002286,0.00943492755493,0.430001623956,0.00418833317511,72.36181,10.0,0.3,0.429441419268
125,125,125,125,0.429917669166,0.00943492755493,0.428662465925,0.00418833317511,79.39699,10.0,0.3,0.433319106715
126,126,126,126,0.427951899421,0.00943492755493,0.43388619217,0.00418833317511,86.43216,10.0,0.3,0.436031922528
127,127,127,127,0.442766800333,0.00943492755493,0.435338663573,0.00418833317511,93.46734,10.0,0.3,0.437985986977
128,128,128,128,0.423189205943,0.00943492755493,0.426337420963,0.00418833317511,100.5025,10.0,0.3,0.43951300061
129,129,129,129,0.434398306891,0.00943492755493,0.439801513754,0.00418833317511,107.5377,10.0,0.3,0.440849055811
130,130,130,130,0.445722864726,0.00943492755493,0.449123911909,0.00418833317511,114.5729,10.0,0.3,0.442121350934
131,131,131,131,0.438615485946,0.00943492755493,0.434218860839,0.00418833317511,121.608,10.0,0.3,0.443355974154
132,132,132,132,0.444288080432,0.00943492755493,0.437431224237,0.00418833317511,128.6432,10.0,0.3,0.44450872329
133,133,133,133,0.437220414173,0.00943492755493,0.436396659013,0.00418833317511,135.6784,10.0,0.3,0.445508529073
134,134,134,134,0.434175723058,0.00943492755493,0.426924994223,0.00418833317511,142.7136,10.0,0.3,0.44630007447
135,135,135,135,0.441207163751,0.00943492755493,0.436119738099,0.00418833317511,149.7487,10.0,0.3,0.446871543593
136,136,136,136,0.449047190097,0.00943492755493,0.451288783067,0.00418833317511,156.7839,10.0,0.3,0.447260451109
137,137,137,137,0.436338893086,0.00943492755493,0.446433880739,0.00418833317511,163.8191,10.0,0.3,0.447538631748
